geoNameId	name	featureCode	countryCode	adminCode1	adminCode2	timeZoneId	latitude	longitude	iata	icao	cityId	cityName	isActive
4627680	Hardwick Field Airport	AIRP	US	TN	011	America/New_York	35.22045	-84.83106	null	KHDI	4614088	Cleveland	1
4628174	Hassell Field Airport	AIRP	US	TN	181	America/Chicago	35.38593	-87.96792	null	null	4614136	Clifton	1
4628326	Hawkins County Airport	AIRP	US	TN	073	America/New_York	36.45627	-82.88508	null	KRVN	4654293	Rogersville	1
4628416	Haynes Haven Farm Airport	AIRP	US	TN	119	America/Chicago	35.72229	-86.96834	null	null	4644675	Neapolis	1
4628830	Henry County Airport	AIRP	US	TN	079	America/Chicago	36.34034	-88.38002	PHT	KPHT	4647963	Paris	1
4628834	Henry County Hospital Airport	AIRP	US	TN	079	America/Chicago	36.29589	-88.30282	null	null	4627421	Hancock	1
4629903	Hodges Cherry Mound Airport	AIRP	US	TN	165	America/Chicago	36.53615	-86.62222	null	null	4644279	Mulloy	1
4630951	Houston County Airport	AIRP	US	TN	083	America/Chicago	36.31398	-87.91378	null	null	4640794	McKinnon	1
4631297	Humboldt Municipal Airport	AIRP	US	TN	053	America/Chicago	35.79806	-88.87714	null	null	4631291	Humboldt	1
4631310	Humphreys County Airport	AIRP	US	TN	085	America/Chicago	36.11472	-87.74154	null	null	4666202	Waverly	1
4631359	Hunter Airport	AIRP	US	TN	119	America/Chicago	35.69674	-86.95829	null	null	4635527	Lanton	1
4631423	Huntingdon Airport	AIRP	US	TN	017	America/Chicago	35.99291	-88.46241	null	null	4631422	Huntingdon	1
4631889	Indian Hill Farm Airport	AIRP	US	TN	115	America/Chicago	34.99139	-85.65028	null	null	4645099	New Hope	1
4632445	Isle-A-Port Airport	AIRP	US	TN	157	America/Chicago	35.1	-90.11213	null	null	4666793	West Junction	1
4632661	Jackson County Airport	AIRP	US	TN	087	America/Chicago	36.397	-85.64241	null	null	4624116	Gainesboro	1
4632840	Jamestown Municipal Airport	AIRP	US	TN	049	America/Chicago	36.35337	-84.948	null	null	4632852	Jamestown	1
4633215	John A Baker Field Airport	AIRP	US	TN	101	America/Chicago	35.55052	-87.59657	null	null	4629986	Hohenwald	1
4633279	John C Tune Airport	AIRP	US	TN	037	America/Chicago	36.17676	-86.88567	null	KJWN	4612835	Charlotte Park	1
4633420	Johnson City Airport	AIRP	US	TN	179	America/New_York	36.36436	-82.30844	null	null	4666008	Watauga	1
4633431	Johnson County Airport	AIRP	US	TN	091	America/New_York	36.41875	-81.82334	null	null	4643953	Mountain City	1
4634530	King Airport	AIRP	US	TN	051	America/Chicago	35.13785	-86.08121	null	null	4668336	Winchester	1
4634954	Knoxville Downtown Island Airport	AIRP	US	TN	093	America/New_York	35.96258	-83.8749	DKX	KDKX	4634946	Knoxville	1
4634958	Knoxville News-Sentinel Airport	AIRP	US	TN	093	America/New_York	35.96425	-83.91602	null	null	4634946	Knoxville	1
4635092	Lady Jane Airport	AIRP	US	TN	103	America/Chicago	35.16675	-86.6	null	null	4620861	Elmwood Terrace	1
4635099	Lafayette Municipal Airport	AIRP	US	TN	111	America/Chicago	36.51837	-86.05828	null	null	4635093	Lafayette	1
4635241	Lake View Airport	AIRP	US	TN	173	America/New_York	36.33928	-83.77776	null	null	4656920	Sharps Chapel	1
4635855	Lawrenceburg-Lawrence County Airport	AIRP	US	TN	099	America/Chicago	35.23392	-87.25996	null	null	4645325	New Prospect	1
4636082	Lebanon Municipal Airport	AIRP	US	TN	189	America/Chicago	36.18729	-86.31495	null	null	4636045	Lebanon	1
4636443	Lewisburg Airport (historical)	AIRQ	US	TN	117	America/Chicago	35.43896	-86.78583	null	null	4614656	Coleman Heights	0
4636813	Liles Airport	AIRP	US	TN	145	America/New_York	35.94369	-84.52216	null	null	4665679	Walnut Hill	1
4637174	Little Creek Airpark	AIRP	US	TN	093	America/New_York	35.87508	-84.05408	null	null	4623462	Fox Fire	1
4637636	Livingston Municipal Airport	AIRP	US	TN	133	America/Chicago	36.41111	-85.31424	null	null	4637626	Livingston	1
4638146	Lookout Mountain Airport	AIRP	US	TN	065	America/New_York	35.02174	-85.35857	null	null	4662667	Tiftonia	1
4638375	Lovell Field	AIRP	US	TN	065	America/New_York	35.03507	-85.20357	CHA	KCHA	4612862	Chattanooga	1
4638560	Lowes Landing Strip	AIRP	US	TN	093	America/New_York	35.91564	-83.7924	null	null	4645261	New Hopewell	1
4638563	Lowndes Airport	AIRP	US	TN	051	America/Chicago	35.26258	-86.1536	null	null	4635295	Lakeside Estates	1
4639504	Marion County Airport-Brown Field	AIRP	US	TN	115	America/Chicago	35.0598	-85.58468	null	null	4620066	East Hill	1
4639518	Mark Anton Airport	AIRP	US	TN	143	America/New_York	35.4812	-84.93627	null	null	4617536	Dayton	1
4639733	Martin Campbell Field Airport	AIRP	US	TN	139	America/New_York	35.01617	-84.34532	null	null	4615418	Copperhill	1
4640042	Maury County Airport	AIRP	US	TN	119	America/Chicago	35.55475	-87.18233	null	null	4653135	Ridley	1
4640198	McAfee Stol Patch Airport	AIRP	US	TN	179	America/New_York	36.37233	-82.39153	null	null	4661609	Tamassee	1
4640648	Mc Ghee Tyson Airport	AIRP	US	TN	009	America/New_York	35.80673	-83.99115	TYS	KTYS	4634946	Knoxville	1
