3char_code^2char_code^name^website
AAM^^Air America^
TNO^6R^AeroUnion^http://www.aerounion.com.mx/eng/
DAP^V5^Aerovías DAP^http://www.dap.cl
AFM^^Affretair^http://www.planet.nu/sunshinecity/affretair/
TNA^GE^TransAsia Airways^http://www.tna.com.tw
AXK^XU^African Express Airways^http://www.africanexpress.co.ke/
QSC^A2^African Safari Airways^http://www.africansafariclub.com
KLA^TT^Air Lithuania^http://web.archive.org/web/*/www.airlithuania.lt/Default.asp?DL=E
CRL^SS^Corsair International^http://www.corsair.fr/
AZF^^Air Zermatt^http://www.air-zermatt.ch/
DAE^D5^DHL Aero Expreso^
AFU^Q9^Afrinat International Airlines^http://web.archive.org/web/*/http://www.afrinat.com
AAW^8U^Afriqiyah Airways^http://www.afriqiyah.aero
RWD^WB^RwandAir^http://www.rwandair.com/
VRE^HF^Air Côte d'Ivoire^http://www.aircotedivoire.com/
SKT^XT^SkyStar Airways^http://www.skystarairways.com/
MGE^P9^Asia Pacific Airlines^http://www.flypa.com
^^Air-taxi europe^http://www.air-taxi.aero/
ATT^F8^air2there^http://www.air2there.com
XAX^D7^AirAsia X^http://www.airasiax.com
AXM^AK^AirAsia^http://www.airasia.com/
VSG^^AirClass Airways^http://www.airclass.es/
^^AirLift Service^
TRS^FL^AirTran Airways^http://www.airtran.com/
AHR^^Air Adriatic^
RKA^RK^Air Afrique^
AAQ^3J^Air Alliance^
LPV^A6^Air Alps^
^^Air Alsace^
DAH^AH^Air Algérie^http://www.airalgerie.dz
IBE^IB^Iberia^https://www.iberia.com/
THA^TG^Thai Airways^http://www.thaiairways.com
DAL^DL^Delta Air Lines^https://www.delta.com/
EZY^U2^easyJet^http://www.easyJet.com/
RON^ON^Nauru Airlines^http://www.ourairline.com.au/
CSA^OK^České aerolinie^http://www.csa.cz
GLG^2K^Avianca Ecuador^
EZD^Z2^Zest Airways^
CYN^Z2^Zhongyuan Airlines^http://wayback.archive.org/*/http://zy-air.com/e-intro.htm
RML^MV^Armenian International Airways^http://www.armenianairways.com/
FIN^AY^Finnair^https://www.finnair.com/
JKK^JK^Spanair^
LOT^LO^LOT Polish Airlines^https://www.lot.com
ANA^NH^All Nippon Airways^https://www.ana.co.jp
ANZ^NZ^Air New Zealand^https://www.airnewzealand.com
PIA^PK^Pakistan International Airlines^http://www.piac.com.pk
QNK^N9^Kabo Air^http://www.kaboair.com/
GJT^8G^Girjet^
QTR^QR^Qatar Airways^http://www.qatarairways.com
QTR^QR^Qatar Airways^https://www.qatarairways.com/index.html
AAL^US^US Airways^http://www.usairways.com
TAP^TP^TAP Air Portugal^http://www.flytap.com
MAH^MA^Malév Hungarian Airlines^http://web.archive.org/*/http://www.malev.com
ELY^LY^El Al^http://www.elal.co.il
RNX^1T^1time Airline^
AAR^OZ^Asiana Airlines^https://www.flyasiana.com
ETD^EY^Etihad Airways^http://www.etihad.com/
AAF^ZI^Aigle Azur^http://www.aigle-azur.com/
JAL^JL^Japan Airlines^https://www.jal.com/
KAL^KE^Korean Air^https://www.koreanair.com
BLF^KF^Blue1^
COA^CO^Continental Airlines^http://www.united.com
ICE^FI^Icelandair^http://www.icelandair.com
ESW^^SW Business Aviation^http://www.businessaviation.az/
URN^3T^Turan Air^http://www.turan-air.com/
OOM^Z4^Zoom Airlines^
RCK^F6^FaroeJet^http://www.faroejet.fo
AMC^KM^Air Malta^http://www.airmalta.com
BSK^LL^Miami Air International^http://www.miamiair.com
ADR^JP^Adria Airways^https://www.adria.si
SAA^SA^South African Airways^https://www.flysaa.com
LBT^BJ^Nouvelair^http://www.nouvelair.com
BDA^BZ^Blue Dart Aviation^http://bluedartaviation.com
WLC^2W^Welcome Air^http://www.welcomeair.com/
ROT^RO^TAROM^http://www.tarom.ro
ETH^ET^Ethiopian Airlines^https://www.ethiopianairlines.com
BTN^B3^Bhutan Airlines^http://www.bhutanairlines.bt/?p=859
AAA^AN^Ansett Australia^http://www.ansett.com.au
^^Aerovista^http://www.aerovista.aero/
FXI^NY^Air Iceland^http://www.airiceland.is
^^Flying Tiger Line^
ICB^HH^Islandsflug^http://www.islandsflug.is
ANU^EA^Ándalus Líneas Aéreas^http://www.andalus.es/
MDG^MD^Air Madagascar^http://www.airmadagascar.com
MPD^A7^Air Comet^http://www.aircomet.com
CWC^WE^Centurion Air Cargo^http://www.centurioncargo.com
KOR^JS^Air Koryo^http://www.airkoryo.com.kp/
SGX^H3^Saga Airlines^
^^FlyDirect^http://flydirect.co.nz/
CJC^9L^Colgan Air^http://www.colganair.com
BAG^DI^DBA (airline)^http://web.archive.org/web/*/www.flydba.com/online/en/home/index.jsp?locale=en_GB
GEC^LH^Lufthansa Cargo^https://lufthansa-cargo.com
HES^H3^Harbour Air^http://www.harbourair.com
BGH^1B^BH Air^http://www.bhairlines.com/
BGH^8H^BH Air^http://www.bhairlines.com/
LAZ^LZ^Balkan Bulgarian Airlines^
PSC^P6^Pascan Aviation^http://www.pascan.com/en/
HFY^5K^Hi Fly^http://www.hifly.aero/en/
BEE^BE^Flybe^http://www.flybe.com
SLK^MI^SilkAir^https://www.silkair.com/en_UK/sg/home
MSL^M7^Marsland Aviation^http://www.marsland-avi.com/
ABB^4P^Business Aviation^
^^Aerotransport^
HPY^^Happy Air^http://www.happyair.co.th/
BVR^^ACM Air Charter^http://www.acm.aero
ASH^YV^Go!^http://www.iflygo.com
MST^^Master Top Airlines^http://www.mt-airlines.com/
^^Deutsche Luft Hansa^
ADK^Z7^ADC Airlines^http://www.adcairlines.com
CSN^CZ^China Southern Airlines^http://global.csair.com/
CES^MU^China Eastern Airlines^http://global.ceair.com
CSC^3U^Sichuan Airlines^http://www.sichuanair.com
CGF^^Cargoair^http://www.cargoair.bg/
CHH^HU^Hainan Airlines^https://www.hainanairlines.com/
^^Österreichische Luftverkehrs AG^
XLA^JN^XL Airways UK^
AMV^YJ^AMC Airlines^http://www.amcairlines.com/
AKX^EH^ANA Wings^http://www.anawings.co.jp/
AOM^IW^AOM French Airlines^http://www.flyaom.com
DHL^ER^Astar Air Cargo^http://www.astaraircargo.com
AMT^TZ^ATA Airlines^
PHW^P3^AVE.com^
AVE^VE^Avensa^http://www.avensa.com.ve/
BTI^BT^airBaltic^http://www.airbaltic.com/
PPW^RL^Royal Phnom Penh Airways^
CBJ^JD^Beijing Capital Airlines^http://www.jdair.net
SLA^LJ^Sierra National Airlines^http://www.flysna.com/
ABE^K5^Aban Air^
AVA^AV^Avianca^http://www.avianca.com
MAS^MH^Malaysia Airlines^http://www.malaysiaairlines.com/
ABL^OC^Catovair^
NIA^NP^Nile Air^http://nileair.com
TIA^TI^Texas International Airlines^
AKW^G6^Angkor Airways^http://www.angkorairways.com/
SVA^SV^Saudia^http://www.saudiairlines.com
AGO^^Angola Air Charter^
SWU^LZ^Swiss Global Air Lines^http://www.swiss.com
TUX^UG^TunisAir Express^http://www.tunisairexpress.net/
^^Air Kasaï^http://www.airkasai.cd/
^^Peruvian International Airways^
DTH^SF^Tassili Airlines^http://www.tassiliairlines.dz
LXP^LU^LATAM Express^http://www.lan.com/index-de-de.html
LER^QL^LASER Airlines^https://www.laserairlines.com/
SRQ^DG^Cebgo^http://www.flyseair.com
RAB^RA^Rayyan Air^
VIS^^Vision Air International^http://www.visionairintl.com
ERO^LY^Sun d'Or International Airlines^http://www.sundor.co.il/sundor/init.do?LANG=EN
EUK^5A^Air Atlanta Europe^http://www.airatlanta.is
^^Air Foyle HeavyLift^
^^Air Harrods^http://www.harrodsaviation.com/air-harrods/
SCY^^Air Scandic^
AIZ^IZ^Arkia^http://www.arkia.com/
ATV^^Avanti Air^http://www.avantiair.com
VVF^^Ankair^http://www.ankair.com/
ISR^6H^Israir Airlines^http://www.israirairlines.com
HAY^HK^Hamburg Airways^http://www.hamburgairways.com/
MGL^OM^MIAT Mongolian Airlines^https://miat.com
BHO^B4^Bhoja Air^http://www.bhojaair.com.pk/home/
ANM^^Antares Airtransport^
BCS^QY^European Air Transport^
IFL^IF^Interflug^
JTA^NU^Japan Transocean Air^https://jta-okinawa.com
PMO^^Nova Air^
NCH^5B^Chanchangi Airlines^http://www.flychanchangiair.com/
SVR^U6^Ural Airlines^http://www.uralairlines.ru
EGU^H7^Eagle Air^http://www.eagleair-ug.com
OKA^BK^Okay Airways^http://www.okair.net/
SFN^^Safiran Airlines^http://www.safiranair.com
OAL^OA^Olympic Air^http://www.olympicair.com
^^Orange Aviation^
PRJ^^Pronair^http://www.pronair.es/
RNA^RA^Nepal Airlines^http://nepalairlines.com.np/
OKS^S0^Slok Air International^http://web.archive.org/web/*/http://www.slok-air.com/
ESL^P7^Russian Sky Airlines^
WDA^9C^Wimbi Dira Airways^
OAE^OY^Omni Air International^http://www.omniairintl.com
^^Mali Air Transport^
