iata_code;location_type;country_code;geoname_link;name;asciiname;lang_code;name_list
DLA;A;CM;http://geonames.org/6296998 ;0.0311764016585;Douala Obs.;Douala Obs.;ar;
DLA;C;CM;http://geonames.org/2232593 ;0.0311764016585;Douala;Douala;ar;دوالا
DMM;A;SA;http://geonames.org/6300012 ;0.0899481450504;King Fahd International Airport;King Fahd International Airport;ar;مطار الملك فهد الدولي
DMM;C;SA;http://geonames.org/110336 ;0.089909974089;Dammam;Dammam;ar;الدمام
DOH;A;QA;http://geonames.org/6300133 ;0.333595249762;Hamad International Airport;Hamad International Airport;ar;مطار حمد الدولي
DOH;C;QA;http://geonames.org/290030 ;0.333595249762;Doha;Doha;ar;الدوحة=اَلدَّوْحَة
DPS;A;ID;http://geonames.org/6301281 ;0.141305817968;Ngurah-Rai Airport;Ngurah-Rai Airport;ar;
DPS;C;ID;http://geonames.org/1645528 ;0.141305817968;Denpasar;Denpasar;ar;
DTW;A;US;http://geonames.org/4990742 ;0.253687471332;Detroit Metropolitan Wayne County Airport;Detroit Metropolitan Wayne County Airport;ar;
DUB;A;IE;http://geonames.org/6296697 ;0.147204348995;Dublin Airport;Dublin Airport;ar;مطار دبلن الدولي
DUB;C;IE;http://geonames.org/2964574 ;0.147204348995;Dublin;Dublin;ar;دبلن
DUR;A;ZA;http://geonames.org/984894 ;0.0419746622698;King Shaka International Airport;King Shaka International Airport;ar;
DUR;C;ZA;http://geonames.org/1007311 ;0.0428433517749;Durban;Durban;ar;ديربان
DUS;A;DE;http://geonames.org/3206096 ;0.182395678005;Düsseldorf International Airport;Duesseldorf International Airport;ar;مطار دوسلدورف الدولي
DUS;C;DE;http://geonames.org/2934246 ;0.195407604279;Düsseldorf;Duesseldorf;ar;دوسلدورف
DWD;CA;SA;http://geonames.org/6300013 ;0.00562783510789;Dawadmi Domestic Airport;Dawadmi Domestic Airport;ar;مطار الدوادمي المحلي
DXB;A;AE;http://geonames.org/6300096 ;0.49070375038;Dubai International Airport;Dubai International Airport;ar;مطار دبي الدولي
DXB;C;AE;http://geonames.org/292223 ;0.520591428438;Dubai;Dubai;ar;دبي
EAM;CA;SA;http://geonames.org/6300023 ;0.0111307306805;Najran Airport;Najran Airport;ar;
ECN;A;CY;http://geonames.org/6299311 ;0.0255501955235;Ercan International Airport;Ercan International Airport;ar;
ECN;C;CY;http://geonames.org/8531733 ;0.0255501955235;Ercan;Ercan;ar;
EDI;A;GB;http://geonames.org/6296627 ;0.104621700771;Edinburgh Airport;Edinburgh Airport;ar;
EDI;C;GB;http://geonames.org/2650225 ;0.11058212435;Edinburgh;Edinburgh;ar;إدنبرة
EJH;CA;SA;http://geonames.org/6300032 ;0.00632002149795;Wejh;Wejh;ar;
ELQ;A;SA;http://geonames.org/391198 ;0.0311976603504;Prince Nayef bin Abdulaziz Regional Airport;Prince Nayef bin Abdulaziz Regional Airport;ar;مطار الأمير نايف بن عبد العزيز الإقليمي
ELQ;C;SA;http://geonames.org/108933 ;0.0311976603504;Al-Qassim Province;Al-Qassim Province;ar;منطقة القصيم
ELS;A;ZA;http://geonames.org/1020088 ;0.0216015706847;East London Airport;East London Airport;ar;
ELS;C;ZA;http://geonames.org/1006984 ;0.0216015706847;East London;East London;ar;
EUN;A;MA;http://geonames.org/6297211 ;0.00758482338041;Hassan I Airport;Hassan I Airport;ar;
EUN;C;EH;http://geonames.org/2462881 ;0.00758482338041;Laâyoune / El Aaiún;Laayoune / El Aaiun;ar;العيون
FCO;A;IT;http://geonames.org/6299619 ;0.284472671151;Leonardo da Vinci–Fiumicino Airport;Leonardo da Vinci-Fiumicino Airport;ar;مطار ليوناردو دا فينشي
FEZ;A;MA;http://geonames.org/6297200 ;0.00879411010575;Fes-Saïss Airport;Fes-Saiss Airport;ar;مطار فاس سايس الدولي
FEZ;C;MA;http://geonames.org/2548885 ;0.00879411010575;Fes;Fes;ar;فاس
FIH;A;CD;http://geonames.org/2312103 ;0.0519556501929;N'djili Airport;N'djili Airport;ar;
FIH;C;CD;http://geonames.org/2314302 ;0.0519556501929;Kinshasa;Kinshasa;ar;كينشاسا
FLL;A;US;http://geonames.org/4155976 ;0.198305255814;Fort Lauderdale/Hollywood International Airport;Fort Lauderdale/Hollywood International Airport;ar;
FLL;C;US;http://geonames.org/4155966 ;0.198305255814;Fort Lauderdale;Fort Lauderdale;ar;فورت لاودردال، فلوريدا
FLR;A;IT;http://geonames.org/6299629 ;0.0519112079478;Florence Peretola Airport;Florence Peretola Airport;ar;
FLR;C;IT;http://geonames.org/3176959 ;0.0519112079478;Florence;Florence;ar;فلورنسا
FNA;A;SL;http://geonames.org/2406918 ;0.0110158298004;Freetown-Lungi International Airport;Freetown-Lungi International Airport;ar;
FNA;C;SL;http://geonames.org/2409306 ;0.0110158298004;Freetown;Freetown;ar;فريتاون
FRA;A;DE;http://geonames.org/6290293 ;0.517136821971;Frankfurt Airport;Frankfurt Airport;ar;مطار فرانكفورت
FRA;C;DE;http://geonames.org/2925533 ;0.520313528107;Frankfurt am Main;Frankfurt am Main;ar;فرانكفورت
FSC;A;FR;http://geonames.org/6299394 ;0.00816132528185;Figari - Sud-Corse;Figari - Sud-Corse;ar;
FSC;C;FR;http://geonames.org/6620210 ;0.00816132528185;Figari;Figari;ar;
GIZ;A;SA;http://geonames.org/6300014 ;0.0254191558764;Jizan Regional Airport;Jizan Regional Airport;ar;مطار الملك عبد الله الإقليمي
GIZ;C;SA;http://geonames.org/105299 ;0.0254191558764;Jizan;Jizan;ar;Jāzān=Djāzān=Qīzān=Jīzān=جازان|p
GOA;A;IT;http://geonames.org/3212474 ;0.0201494235858;Genoa Cristoforo Colombo Airport;Genoa Cristoforo Colombo Airport;ar;
GOA;C;IT;http://geonames.org/3176219 ;0.0201494235858;Genoa;Genoa;ar;جنوة
GOI;A;IN;http://geonames.org/6301037 ;0.0339107610144;Goa International Airport;Goa International Airport;ar;
GOI;C;IN;http://geonames.org/1271156 ;0.0339107610144;Goa;Goa;ar;
GOT;A;SE;http://geonames.org/6296790 ;0.0564443698892;Gothenburg-Landvetter Airport;Gothenburg-Landvetter Airport;ar;
GOT;C;SE;http://geonames.org/2711537 ;0.0564443698892;Göteborg;Goeteborg;ar;غوتنبرغ
GRJ;A;ZA;http://geonames.org/1002148 ;0.0177600047015;George Airport;George Airport;ar;
GRJ;C;ZA;http://geonames.org/1002145 ;0.0177600047015;George;George;ar;
GVA;A;CH;http://geonames.org/2660644 ;0.143457691004;Aéroport Genève-Cointrin;Aeroport Geneve-Cointrin;ar;
GVA;C;CH;http://geonames.org/2660646 ;0.143457691004;Genève;Geneve;ar;جنيف
HAJ;A;DE;http://geonames.org/3206636 ;0.0598218171104;Hannover-Langenhagen Airport;Hannover-Langenhagen Airport;ar;
HAJ;C;DE;http://geonames.org/2910831 ;0.0598218171104;Hannover;Hannover;ar;هانوفر
HAM;A;DE;http://geonames.org/3208174 ;0.136233591434;Hamburg Airport;Hamburg Airport;ar;
HAM;C;DE;http://geonames.org/2911298 ;0.124772224767;Hamburg;Hamburg;ar;هامبورغ
HAN;A;VN;http://geonames.org/6301877 ;0.112072583397;Noi Bai International Airport;Noi Bai International Airport;ar;
HAN;C;VN;http://geonames.org/1581130 ;0.112072583397;Hanoi;Hanoi;ar;هانوي
HAS;A;SA;http://geonames.org/395011 ;0.0193216405036;Ha'il Regional Airport;Ha'il Regional Airport;ar;Ḩā’il Airport=مطار حائل الإقليمي
HAS;C;SA;http://geonames.org/106281 ;0.0193216405036;Ha'il;Ha'il;ar;حائل
HBE;A;EG;http://geonames.org/6297292 ;0.023880678594;Alexandria Borg El Arab Airport;Alexandria Borg El Arab Airport;ar;
