AGC	PIT	Allegheny County Airport	Pittsburgh	PA	US	402117N	0795548W	1	A
AGD	AGD	Anggi Airport	Anggi		ID	012300S	1335200E	3	A
AGE	AGE	Flugplatz Airport	Wangerooge		DE	534714N	0075457E	0	A
AGF	AGF	La Garenne Airport	Agen		FR	441025N	0003555E	0	A
AGG	AGG	Angoram Airport	Angoram		PG	041007S	1440426E	1	A
AGH	AGH	Angelholm Airport	Angelholm/Helsingborg		SE	561735N	0125145E	0	A
AGI	AGI	Wageningen Airport	Wageningen		SR	055000N	0565000W	0	A
AGJ	AGJ	Aguni Airport	Aguni		JP	263523N	1271417E	0	A
AGK	AGK	Kagua Airport	Kagua		PG	062412S	1435048E	1	A
AGL	AGL	Wanigela Airport	Wanigela		PG	092025S	1490919E	1	A
AGM	AGM	Ammassalik Heliport	Tasiilaq		GL	653643N	0373705W	1	H
AGN	AGN	Sea Plane Base	Angoon	AK	US	573014N	1343500W	5	S
AGO	AGO	Magnolia Municipal Airport	Magnolia	AR	US	331600N	0931400W	2	A
AGP	AGP	Malaga Airport	Malaga	SP	ES	364018N	0042953W	1	A
AGQ	AGQ	G.Karaiskakis Airport	Agrinion		GR	383607N	0212104E	0	A
AGR	AGR	Agra Airport	Agra		IN	270930N	0775746E	0	A
AGS	AGS	Bush Field	Augusta	GA	US	332159N	0815801W	1	A
AGT	AGT	Guarani Intl Airport	Ciudad del Este		PY	253000S	0545000W	0	A
AGU	AGU	Jesus Teran Peredo Intl Airport	Aguascalientes		MX	214200N	1021900W	1	A
AGV	AGV	Oswaldo Guevara Mujica Airport	Acarigua		VE	093308N	0691400W	0	A
AGW	AGW	Agnew Airport	Agnew	QL	AU	120900S	1420900E	2B	A
AGX	AGX	Agatti Island Airport	Agatti Island		IN	110000N	0720000E	0	A
AGY	MUC	Augsburg Hbf Railway Station	Munich		DE	482156N	0105311E	0	R
AGZ	AGZ	Aggeneys Airport	Aggeneys		ZA	290300S	0185100E	0	A
AHB	AHB	Abha Airport	Abha		SA	181400N	0423900E	0	A
AHC	AHC	Amedee Army Air Field	Herlong	CA	US	400900N	1200800W	4	M
AHD	ADM	Downtown Executive Airport	Ardmore	OK	US	341000N	0970800W	2	A
AHE	AHE	Ahe Airport	Ahe		PF	142541S	1461525W	2	A
