Three-Letter City Code	City Name	State/Pro.	Country Code	Time Zone Code	STV	Three-Letter Airport Code	Airport Name	Numeric Code	Location Type	Type Name	Aggregated Name
ALT	Alenquer	PA	BR	1	A	ALT			3	Airport	Alenquer Airport
ALU	Alula		SO			ALU		0161	3	Airport	Alula Airport
ALV	Andorra la Vella		AD			ALV	Off-line Point		1	Off-Line Point	Andorra la Vella Off-line Point
ALW	Walla Walla	WA	US	4		ALW		0162	3	Airport	Walla Walla Airport
ALX	Alexander City	AL	US	2		ALX	Thomas C Russell Field		3	Airport	Alexander City Thomas C Russell Field Airport
ALY	Alexandria		EG			ALY	El Nouzha	0163	3	Airport	Alexandria El Nouzha Airport
ALY	Alexandria		EG			ALY	Metropolitan Area		2	Metropolitan Area	Alexandria Metropolitan Area
ALY	Alexandria		EG			HBE	Borg el Arab		3	Airport	Alexandria Borg el Arab Airport
ALZ	Alitak	AK	US	5		ALZ	Sea Plane Base	0164	3	Airport	Alitak Sea Plane Base Airport
AMA	Amarillo	TX	US	2		AMA	International	0165	3	Airport	Amarillo International Airport
AMA	Amarillo	TX	US	2		AMA	Metropolitan Area		2	Metropolitan Area	Amarillo Metropolitan Area
AMA	Amarillo	TX	US	2		TDW	Tradewind		3	Airport	Amarillo Tradewind Airport
AMB	Ambilobe		MG			AMB		0166	3	Airport	Ambilobe Airport
AMC	Am Timan		TD			AMC		0167	3	Airport	Am Timan Airport
AMD	Ahmedabad		IN			AMD	S.VallabhBhai Patel	0168	3	Airport	Ahmedabad S.VallabhBhai Patel Airport
AME	Alto Molocue		MZ			AME		0169	3	Airport	Alto Molocue Airport
AMF	Ama		PG			AMF		0170	3	Airport	Ama Airport
AMG	Amboin		PG			AMG		0171	3	Airport	Amboin Airport
AMH	Arba Minch		ET			AMH		0172	3	Airport	Arba Minch Airport
AMI	Mataram		ID	2		AMI	Selaparang	0173	3	Airport	Mataram Selaparang Airport
AMJ	Almenara	MG	BR	1		AMJ		0174	3	Airport	Almenara Airport
AML	Puerto Armuellas		PA			AML		0175	3	Airport	Puerto Armuellas Airport
AMM	Amman		JO			ADJ	Marka Intl		3	Airport	Amman Marka Intl Airport
AMM	Amman		JO			AMM	Metropolitan Area		2	Metropolitan Area	Amman Metropolitan Area
AMM	Amman		JO			AMM	Queen Alia Intl	0176	3	Airport	Amman Queen Alia Intl Airport
AMN	Alma	MI	US	1		AMN	Gratiot Community		3	Airport	Alma Gratiot Community Airport
AMO	Mao		TD			AMO		0177	3	Airport	Mao Airport
AMP	Ampanihy		MG			AMP		0178	3	Airport	Ampanihy Airport
AMQ	Ambon		ID	3		AMQ	Pattimura	0179	3	Airport	Ambon Pattimura Airport
AMS	Amsterdam		NL			AMS	Schiphol Airport	0181	3	Airport	Amsterdam Schiphol Airport
AMS	Amsterdam		NL			SPL	Schiphol SITA Function		1	Off-Line Point	Amsterdam Schiphol SITA Function Off-Line Point
AMS	Amsterdam		NL			ZYA	Centraal Railway Stn		5	Railway Station	Amsterdam Centraal Railway Stn Railway Station
AMT	Amata	SA	AU	3		AMT			3	Airport	Amata Airport
AMU	Amanab		PG			AMU		0182	3	Airport	Amanab Airport
AMV	Amderma		RU	2		AMV			3	Airport	Amderma Airport
AMW	Ames	IA	US	2		AMW		0183	3	Airport	Ames Airport
AMX	Ammaroo	NT	AU	3	A	AMX		0184	3	Airport	Ammaroo Airport
